Hour,SessionHostName,network_TotalConnections,network_SuccessRate,network_UniqueUsers,network_AvgRttMs,network_QueuedUsers,capacity_ActiveSessions,capacity_MaxSessionLimit,capacity_UtilizationPct,capacity_IsHealthy,fslogix_TotalEvents,fslogix_ErrorCount,hygiene_DisconnectEventCount,hygiene_AvgDisconnectedSessionDurationMinutes,hygiene_MaxDisconnectedSessionDurationMinutes,RTT,HeartbeatGap,QueuedUsers,FSLogixErrors,DiskFreePercent,TempCacheGB,DisconnectedSessions,SourceHasRTT,SourceHasHeartbeatGap,SourceHasQueuedUsers,SourceHasDisk,anomaly,IsAnomaly,AnomalyScore,avg_rtt,tcp_fallback_count,heartbeat_gap,queued_users,login_failures,fslogix_errors,disk_free,temp_profile_cache,disconnected_sessions,client_version,network_issue,session_host_issue,capacity_issue,fslogix_issue,disk_issue,hygiene_issue,client_issue,has_issue
2026-02-02 16:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
2026-02-02 17:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
2026-02-03 09:00:00+00:00,Client,,,,,,,,,,,,32.0,,,50.0,0.0,0.0,0.0,50.0,0.0,32.0,0,0,0,0,-1,True,0.8179564891221405,,0.0,,0.0,0.0,0.0,,0.0,32.0,,False,False,False,False,False,True,False,True
2026-02-03 12:00:00+00:00,Client,,,,,,,,,,,,37.0,,,50.0,0.0,0.0,0.0,50.0,0.0,37.0,0,0,0,0,-1,True,0.8263000284451543,,0.0,,0.0,0.0,0.0,,0.0,37.0,,False,False,False,False,False,True,False,True
2026-02-03 13:00:00+00:00,Client,,,,,,,,,,,,54.0,,,50.0,0.0,0.0,0.0,50.0,0.0,54.0,0,0,0,0,-1,True,0.8313469485197347,,0.0,,0.0,0.0,0.0,,0.0,54.0,,False,False,False,False,False,True,False,True
2026-02-04 10:00:00+00:00,Client,,,,,,,,,,1.0,1.0,18.0,,,50.0,0.0,0.0,1.0,50.0,0.0,18.0,0,0,0,0,-1,True,0.797194638923297,,0.0,,0.0,0.0,1.0,,0.0,18.0,,False,False,False,True,False,False,False,True
2026-02-06 00:00:00+00:00,Client,,,,,,,,,,1.0,1.0,4.0,,,50.0,0.0,0.0,1.0,50.0,0.0,4.0,0,0,0,0,-1,True,0.7291561957696728,,0.0,,0.0,0.0,1.0,,0.0,4.0,,False,False,False,True,False,False,False,True
2026-02-06 13:00:00+00:00,Client,,,,,,,,,,,,31.0,,,50.0,0.0,0.0,0.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.8162979184403182,,0.0,,0.0,0.0,0.0,,0.0,31.0,,False,False,False,False,False,True,False,True
2026-02-06 17:00:00+00:00,Client,,,,,,,,,,,,31.0,,,50.0,0.0,0.0,0.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.8162979184403182,,0.0,,0.0,0.0,0.0,,0.0,31.0,,False,False,False,False,False,True,False,True
2026-02-09 10:00:00+00:00,Client,,,,,,,,,,1.0,1.0,24.0,,,50.0,0.0,0.0,1.0,50.0,0.0,24.0,0,0,0,0,-1,True,0.8135411041233598,,0.0,,0.0,0.0,1.0,,0.0,24.0,,False,False,False,True,False,False,False,True
2026-02-09 11:00:00+00:00,Client,,,,,,,,,,,,38.0,,,50.0,0.0,0.0,0.0,50.0,0.0,38.0,0,0,0,0,-1,True,0.8285393103789711,,0.0,,0.0,0.0,0.0,,0.0,38.0,,False,False,False,False,False,True,False,True
2026-02-09 12:00:00+00:00,Client,,,,,,,,,,1.0,1.0,33.0,,,50.0,0.0,0.0,1.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8438140191858927,,0.0,,0.0,0.0,1.0,,0.0,33.0,,False,False,False,True,False,True,False,True
2026-02-11 09:00:00+00:00,Client,,,,,,,,,,,,36.0,,,50.0,0.0,0.0,0.0,50.0,0.0,36.0,0,0,0,0,-1,True,0.8240667985881867,,0.0,,0.0,0.0,0.0,,0.0,36.0,,False,False,False,False,False,True,False,True
2026-02-11 11:00:00+00:00,Client,,,,,,,,,,,,42.0,,,50.0,0.0,0.0,0.0,50.0,0.0,42.0,0,0,0,0,-1,True,0.8285393103789711,,0.0,,0.0,0.0,0.0,,0.0,42.0,,False,False,False,False,False,True,False,True
2026-02-11 12:00:00+00:00,Client,,,,,,,,,,,,32.0,,,50.0,0.0,0.0,0.0,50.0,0.0,32.0,0,0,0,0,-1,True,0.8179564891221405,,0.0,,0.0,0.0,0.0,,0.0,32.0,,False,False,False,False,False,True,False,True
2026-02-11 14:00:00+00:00,Client,,,,,,,,,,1.0,1.0,35.0,,,50.0,0.0,0.0,1.0,50.0,0.0,35.0,0,0,0,0,-1,True,0.8466734181236373,,0.0,,0.0,0.0,1.0,,0.0,35.0,,False,False,False,True,False,True,False,True
2026-02-12 12:00:00+00:00,Client,,,,,,,,,,,,39.0,,,50.0,0.0,0.0,0.0,50.0,0.0,39.0,0,0,0,0,-1,True,0.8285393103789711,,0.0,,0.0,0.0,0.0,,0.0,39.0,,False,False,False,False,False,True,False,True
2026-02-12 14:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
2026-02-12 22:00:00+00:00,Client,,,,,,,,,,1.0,1.0,7.0,,,50.0,0.0,0.0,1.0,50.0,0.0,7.0,0,0,0,0,-1,True,0.7537923186740447,,0.0,,0.0,0.0,1.0,,0.0,7.0,,False,False,False,True,False,False,False,True
2026-02-13 10:00:00+00:00,Client,,,,,,,,,,1.0,1.0,26.0,,,50.0,0.0,0.0,1.0,50.0,0.0,26.0,0,0,0,0,-1,True,0.8246245395654964,,0.0,,0.0,0.0,1.0,,0.0,26.0,,False,False,False,True,False,False,False,True
2026-02-13 16:00:00+00:00,Client,,,,,,,,,,1.0,1.0,24.0,,,50.0,0.0,0.0,1.0,50.0,0.0,24.0,0,0,0,0,-1,True,0.8135411041233598,,0.0,,0.0,0.0,1.0,,0.0,24.0,,False,False,False,True,False,False,False,True
2026-02-14 05:00:00+00:00,Client,,,,,,,,,,1.0,1.0,2.0,,,50.0,0.0,0.0,1.0,50.0,0.0,2.0,0,0,0,0,-1,True,0.7078530880902467,,0.0,,0.0,0.0,1.0,,0.0,2.0,,False,False,False,True,False,False,False,True
